0000000E xCCCCCCC kkkkkkkk                                      RPTCC k8, cond
11100101 AAAAAAAI 100110xx                                      MOV BK03, Smem
11100101 AAAAAAAI 101010xx                                      MOV BK47, Smem
11100101 AAAAAAAI 101110xx                                      MOV BKC, Smem
11100101 AAAAAAAI 110010xx                                      MOV DPH, Smem
11100101 AAAAAAAI 111110xx                                      MOV PDP, Smem
11100101 AAAAAAAI x00011xx                                      MOV CSR, Smem
11100101 AAAAAAAI x00111xx                                      MOV BRC0, Smem
11100101 AAAAAAAI x01011xx                                      MOV BRC1, Smem
11100101 AAAAAAAI x01111xx                                      MOV TRN0, Smem
11100101 AAAAAAAI x10011xx                                      MOV TRN1, Smem
11100110 AAAAAAAI KKKKKKKK                                      MOV K8, Smem
11100111 AAAAAAAI SSss00xx                                      MOV ACx << Tx, Smem
11100111 AAAAAAAI SSss10x%                                      MOV [rnd(]HI(ACx << Tx)[)], Smem
11100111 AAAAAAAI SSss11u%                                      MOV [uns(] [rnd(]HI[(saturate](ACx << Tx)[)))], Smem
11101000 AAAAAAAI SSxxx0x%                                      MOV [rnd(]HI(ACx)[)], Smem
11101000 AAAAAAAI SSxxx1u%                                      MOV [uns(] [rnd(]HI[(saturate](ACx)[)))], Smem
11101001 AAAAAAAI SSSHIFTW                                      MOV ACx << #SHIFTW, Smem
11101010 AAAAAAAI SSSHIFTW                                      MOV HI(ACx << #SHIFTW), Smem
11101011 AAAAAAAI xxxx01xx                                      MOV RETA, dbl(Lmem)
11101011 AAAAAAAI xxSS10x0                                      MOV ACx, dbl(Lmem)
11101011 AAAAAAAI xxSS10u1                                      MOV [uns(]saturate(ACx)[)], dbl(Lmem)
11101011 AAAAAAAI FSSS1100                                      MOV pair(TAx), dbl(Lmem)
11101011 AAAAAAAI xxSS1101                                      MOV ACx >> #1, dual(Lmem)
11101100 AAAAAAAI FSSS000x                                      BSET Baddr, src
11101100 AAAAAAAI FSSS001x                                      BCLR Baddr, src
11101100 AAAAAAAI FSSS010x                                      BTSTP Baddr, src
11101100 AAAAAAAI FSSS011x                                      BNOT Baddr, src
11101100 AAAAAAAI FSSS100t                                      BTST Baddr, src, TCx
11101100 AAAAAAAI XDDD1110                                      AMAR Smem, XAdst
11101101 AAAAAAAI 00DD1010                                      MOV dbl(Lmem), pair(HI(ACx))
11101101 AAAAAAAI 00DD1100                                      MOV dbl(Lmem), pair(LO(ACx))
11101101 AAAAAAAI 00SS1110                                      MOV pair(HI(ACx)), dbl(Lmem)
11101101 AAAAAAAI 00SS1111                                      MOV pair(LO(ACx)), dbl(Lmem)
11101101 AAAAAAAI SSDD000n                                      ADD dbl(Lmem), [ACx,] ACy
11101101 AAAAAAAI SSDD001n                                      SUB dbl(Lmem), [ACx,] ACy
11101101 AAAAAAAI SSDD010x                                      SUB ACx, dbl(Lmem), ACy
11101101 AAAAAAAI xxxx011x                                      MOV dbl(Lmem), RETA
11101101 AAAAAAAI xxDD100g                                      MOV[40] dbl(Lmem), ACx
11101101 AAAAAAAI FDDD111x                                      MOV dbl(Lmem), pair(TAx)
11101101 AAAAAAAI XDDD1111                                      MOV dbl(Lmem), XAdst
11101101 AAAAAAAI XSSS0101                                      MOV XAsrc, dbl(Lmem)
11101110 AAAAAAAI SSDD000x                                      ADD dual(Lmem), [ACx,] ACy
11101110 AAAAAAAI SSDD001x                                      SUB dual(Lmem), [ACx,] ACy
11101110 AAAAAAAI SSDD010x                                      SUB ACx, dual(Lmem), ACy
11101110 AAAAAAAI ssDD011x                                      SUB dual(Lmem), Tx, ACx
11101110 AAAAAAAI ssDD100x                                      ADD dual(Lmem), Tx, ACx
11101110 AAAAAAAI ssDD101x                                      SUB Tx, dual(Lmem), ACx
11101110 AAAAAAAI ssDD110x                                      ADDSUB Tx, dual(Lmem), ACx
11101110 AAAAAAAI ssDD111x                                      SUBADD Tx, dual(Lmem), ACx
11101111 AAAAAAAI xxxx00mm                                      MOV Cmem, Smem
11101111 AAAAAAAI xxxx01mm                                      MOV Smem, Cmem
11101111 AAAAAAAI xxxx10mm                                      MOV Cmem,dbl(Lmem)
11101111 AAAAAAAI xxxx11mm                                      MOV dbl(Lmem), Cmem
11110000 AAAAAAAI KKKKKKKK KKKKKKKK                             CMP Smem == K16, TC1
11110001 AAAAAAAI KKKKKKKK KKKKKKKK                             CMP Smem == K16, TC2
11110010 AAAAAAAI kkkkkkkk kkkkkkkk                             BAND Smem, k16, TC1
11110011 AAAAAAAI kkkkkkkk kkkkkkkk                             BAND Smem, k16, TC2
11110100 AAAAAAAI kkkkkkkk kkkkkkkk                             AND k16, Smem
11110101 AAAAAAAI kkkkkkkk kkkkkkkk                             OR k16, Smem
11110110 AAAAAAAI kkkkkkkk kkkkkkkk                             XOR k16, Smem
11110111 AAAAAAAI KKKKKKKK KKKKKKKK                             ADD K16, Smem
11111000 AAAAAAAI KKKKKKKK xxDDx0U%                             MPYMK[R] [T3 = ]Smem, K8, ACx
11111000 AAAAAAAI KKKKKKKK SSDDx1U%                             MACMK[R] [T3 = ]Smem, K8, [ACx,] ACy
11111001 AAAAAAAI uxSHIFTW SSDD00xx                             ADD [uns(]Smem[)] << #SHIFTW, [ACx,] ACy
11111001 AAAAAAAI uxSHIFTW SSDD01xx                             SUB [uns(]Smem[)] << #SHIFTW, [ACx,] ACy
11111001 AAAAAAAI uxSHIFTW xxDD10xx                             MOV [uns(]Smem[)] << #SHIFTW, ACx
11111010 AAAAAAAI xxSHIFTW SSxxx0x%                             MOV [rnd(]HI(ACx << #SHIFTW)[)], Smem
11111010 AAAAAAAI uxSHIFTW SSxxx1x%                             MOV [uns(] [rnd(]HI[(saturate](ACx << #SHIFTW)[)))], Smem
11111011 AAAAAAAI KKKKKKKK KKKKKKKK                             MOV K16, Smem
11111100 AAAAAAAI LLLLLLLL LLLLLLLL                             BCC L16, ARn_mod ! = #0
11111101 AAAAAAAI 000000mm DDDDuug%                             MPY[R][40] [uns(]Smem[)], [uns(]HI(Cmem)[)], ACy :: MPY[R][40] [uns(]Smem[)], [uns(]LO(Cmem)[)], ACx
11111101 AAAAAAAI 000001mm DDDDuug%                             MPY[R][40] [uns(]Smem[)], [uns(]HI(Cmem)[)], ACy :: MAC[R][40] [uns(]Smem[)], [uns(]LO(Cmem)[)], ACx
11111101 AAAAAAAI 000010mm DDDDuug%                             MAC[R][40] [uns(]Smem[)], [uns(]HI(Cmem)[)], ACy :: MPY[R][40] [uns(]Smem[)], [uns(]LO(Cmem)[)], ACx
11111101 AAAAAAAI 000011mm DDDDuug%                             MPY[R][40] [uns(]Smem[)], [uns(]HI(Cmem)[)], ACy :: MAS[R][40] [uns(]Smem[)], [uns(]LO(Cmem)[)], ACx
11111101 AAAAAAAI 000100mm DDDDuug%                             MAS[R][40] [uns(]Smem[)], [uns(]HI(Cmem)[)], ACy :: MPY[R][40] [uns(]Smem[)], [uns(]LO(Cmem)[)], ACx
11111101 AAAAAAAI 000101mm DDDDuug%                             MAC[R][40] [uns(]Smem[)], [uns(]HI(Cmem)[)], ACy :: MAC[R][40] [uns(]Smem[)], [uns(]LO(Cmem)[)], ACx
11111101 AAAAAAAI 000110mm DDDDuug%                             MAC[R][40] [uns(]Smem[)], [uns(]HI(Cmem)[)], ACy :: MAS[R][40] [uns(]Smem[)], [uns(]LO(Cmem)[)], ACx
11111101 AAAAAAAI 000111mm DDDDuug%                             MAS[R][40] [uns(]Smem[)], [uns(]HI(Cmem)[)], ACy :: MAC[R][40] [uns(]Smem[)], [uns(]LO(Cmem)[)], ACx
11111101 AAAAAAAI 001000mm DDDDuug%                             MAC[R][40] [uns(]Smem[)], [uns(]HI(Cmem)[)], ACy :: MAC[R][40] [uns(]Smem[)], [uns(]LO(Cmem)[)], ACx>>#16
11111101 AAAAAAAI 001001mm DDDDuug%                             MAC[R][40] [uns(]Smem[)], [uns(]HI(Cmem)[)], ACy>>#16 :: MAS[R][40] [uns(]Smem[)], [uns(]LO(Cmem)[)], ACx
11111101 AAAAAAAI 001010mm DDDDuug%                             MAC[R][40] [uns(]Smem[)], [uns(]HI(Cmem)[)], ACy>>#16 :: MPY[R][40] [uns(]Smem[)], [uns(]LO(Cmem)[)], ACx
11111101 AAAAAAAI 001011mm DDDDuug%                             MAC[R][40] [uns(]Smem[)], [uns(]HI(Cmem)[)], ACy>>#16 :: MAC[R][40] [uns(]Smem[)], [uns(]LO(Cmem)[)], ACx>>#16
11111101 AAAAAAAI 001100mm DDDDuug%                             MAS[R][40] [uns(]Smem[)], [uns(]HI(Cmem)[)], ACy :: MAS[R][40] [uns(]Smem[)], [uns(]LO(Cmem)[)], ACx
11111101 AAAAAAAI 010000mm DDDDuug%                             MPY[R][40] [uns(]HI(Lmem)[)], [uns(]HI(Cmem)[)], ACy :: MPY[R][40] [uns(]LO(Lmem)[)], [uns(]LO(Cmem)[)], ACx
11111101 AAAAAAAI 010001mm DDDDuug%                             MPY[R][40] [uns(]HI(Lmem)[)], [uns(]HI(Cmem)[)], ACy :: MAC[R][40] [uns(]LO(Lmem)[)], [uns(]LO(Cmem)[)], ACx
11111101 AAAAAAAI 010010mm DDDDuug%                             MAC[R][40] [uns(]HI(Lmem)[)], [uns(]HI(Cmem)[)], ACy :: MPY[R][40] [uns(]LO(Lmem)[)], [uns(]LO(Cmem)[)], ACx
11111101 AAAAAAAI 010011mm DDDDuug%                             MPY[R][40] [uns(]HI(Lmem)[)], [uns(]HI(Cmem)[)], ACy :: MAS[R][40] [uns(]LO(Lmem)[)], [uns(]LO(Cmem)[)], ACx
11111101 AAAAAAAI 010100mm DDDDuug%                             MAS[R][40] [uns(]HI(Lmem)[)], [uns(]HI(Cmem)[)], ACy :: MPY[R][40] [uns(]LO(Lmem)[)], [uns(]LO(Cmem)[)], ACx
11111101 AAAAAAAI 010101mm DDDDuug%                             MAC[R][40] [uns(]HI(Lmem)[)], [uns(]HI(Cmem)[)], ACy :: MAC[R][40] [uns(]LO(Lmem)[)], [uns(]LO(Cmem)[)], ACx
11111101 AAAAAAAI 010110mm DDDDuug%                             MAC[R][40] [uns(]HI(Lmem)[)], [uns(]HI(Cmem)[)], ACy :: MAS[R][40] [uns(]LO(Lmem)[)], [uns(]LO(Cmem)[)], ACx
11111101 AAAAAAAI 010111mm DDDDuug%                             MAS[R][40] [uns(]HI(Lmem)[)], [uns(]HI(Cmem)[)], ACy :: MAC[R][40] [uns(]LO(Lmem)[)], [uns(]LO(Cmem)[)], ACx
11111101 AAAAAAAI 011000mm DDDDuug%                             MAC[R][40] [uns(]HI(Lmem)[)], [uns(]HI(Cmem)[)], ACy :: MAC[R][40] [uns(]LO(Lmem)[)], [uns(]LO(Cmem)[)], ACx>>#16
11111101 AAAAAAAI 011001mm DDDDuug%                             MAC[R][40] [uns(]HI(Lmem)[)], [uns(]HI(Cmem)[)], ACy>>#16 :: MAS[R][40] [uns(]LO(Lmem)[)], [uns(]LO(Cmem)[)], ACx
11111101 AAAAAAAI 011010mm DDDDuug%                             MAC[R][40] [uns(]HI(Lmem)[)], [uns(]HI(Cmem)[)], ACy>>#16 :: MPY[R][40] [uns(]LO(Lmem)[)], [uns(]LO(Cmem)[)], ACx
11111101 AAAAAAAI 011011mm DDDDuug%                             MAC[R][40] [uns(]HI(Lmem)[)], [uns(]HI(Cmem)[)], ACy>>#16 :: MAC[R][40] [uns(]LO(Lmem)[)], [uns(]LO(Cmem)[)], ACx>>#16
11111101 AAAAAAAI 011100mm DDDDuug%                             MAS[R][40] [uns(]HI(Lmem)[)], [uns(]HI(Cmem)[)], ACy :: MAS[R][40] [uns(]LO(Lmem)[)], [uns(]LO(Cmem)[)], ACx
